Agglomeration_ID,agglosName,x,y,Pop2015,ISO3,Region,Between,degree
1002055,road,28.2703328,-25.7035486,0,ZAF,South,4101728.56,4
1002243,road,30.1997067,31.2672581,0,EGY,North,5359906.252,3
1002264,road,-0.5755896,35.603641,0,DZA,North,3045269.515,3
1002280,road,32.4578818,30.0259849,0,EGY,North,4860886.305,4
1002285,road,9.5401145,36.5965702,0,TUN,North,484428.4199,3
1002342,road,27.9993949,-26.5726321,0,ZAF,South,4563820.921,3
1002367,road,-0.2856016,35.7860416,0,DZA,North,222236.8064,4
1002368,road,-0.1406893,35.7832239,0,DZA,North,1324089.745,4
1002369,road,-0.0097894,35.8327659,0,DZA,North,1083748.93,3
1002370,road,-0.1192672,35.78622,0,DZA,North,1329290.569,3
1002371,road,-0.2940439,35.7997361,0,DZA,North,2525031.802,5
1002374,road,-0.5255418,35.7371421,0,DZA,North,1990353.704,5
1002437,road,28.3752782,-26.2744011,0,ZAF,South,1539895.515,3
1002445,road,28.4413531,-26.2829373,0,ZAF,South,0,3
1002523,road,31.9082963,29.7807306,0,EGY,North,717954.0919,3
1002524,road,32.2378563,29.6695941,0,EGY,North,717954.0919,3
1002544,road,28.46017,-26.1651235,0,ZAF,South,2170203.398,3
1002550,road,28.2482019,-26.2517004,0,ZAF,South,391136.0046,3
1002643,road,13.1999096,32.8562183,0,LBY,North,66430.87553,6
1002650,road,13.2174653,32.8614584,0,LBY,North,66430.87553,5
1002657,road,31.8911983,31.4009875,0,EGY,North,3648070.551,4
1002718,road,-6.5507964,34.0160019,0,MAR,North,4371533.243,3
1002732,road,7.4647908,36.8310557,0,DZA,North,1064551.956,3
1002779,road,4.0895886,36.7107554,0,DZA,North,1831684.115,3
1002781,road,4.1056537,36.7040264,0,DZA,North,2034712.474,4
1002789,road,28.2197749,-25.8589062,0,ZAF,South,11866302.03,3
1002874,road,9.9197441,37.2480715,0,TUN,North,1257810.114,3
1002959,road,10.5595846,35.7106026,0,TUN,North,1032413.785,3
1002960,road,10.5635141,35.6919926,0,TUN,North,1032413.785,3
1002962,road,10.5577136,35.7731339,0,TUN,North,1510670.982,3
1003011,road,30.7513149,-29.7978819,0,ZAF,South,5473020.803,3
1003038,road,-5.7189968,35.6836921,0,MAR,North,2162195.337,4
1003081,road,-5.3628348,35.828474,0,MAR,North,0,1
1003094,road,-5.3560637,35.7534824,0,MAR,North,1485417.509,4
1003359,road,2.7602628,36.4648167,0,DZA,North,6300947.342,4
1003367,road,1.2199471,36.0969368,0,DZA,North,3899834.884,3
1003381,road,6.7493179,36.5739555,0,DZA,North,3284894.962,3
1003385,road,2.9202504,33.7079043,0,DZA,North,198784.883,4
1003437,road,3.4491633,36.7313129,0,DZA,North,2387290.822,3
